IC1,00 08 27.2,+27 43 08,None,None
IC2,00 11 00.8,-12 49 22,0.8,0.2
IC3,00 12 06.1,-00 24 55,0.6,0.3
IC4,00 13 26.8,+17 29 11,1,0.9
IC5,00 17 34.8,-09 32 36,0.9,0.6
IC6,00 18 55.0,-03 16 34,0.7,0.7
IC7,00 18 53.2,+10 35 38,0.5,0.5
IC8,00 19 02.6,-03 13 20,0.7,0.4
IC9,00 19 44.1,-14 07 19,0.4,0.3
IC10,00 20 24.5,+59 17 31,6.3,5.1
IC11,00 52 59.3,+56 37 19,25,30
IC12,00 20 15.2,-02 39 13,0.7,0.3
IC13,00 20 20.1,+07 42 02,1.5,0.6
IC14,00 22 31.3,+10 29 26,None,None
IC15,00 27 57.5,-00 03 43,0.4,0.2
IC16,00 28 07.7,-13 05 41,0.5,0.3
IC17,00 28 29.8,+02 38 54,0.5,0.5
IC18,00 28 35.0,-11 35 13,1.5,0.8
IC19,00 28 39.5,-11 38 27,0.8,0.5
IC20,00 28 39.5,-13 00 37,0.7,0.7
IC21,00 29 10.4,-00 09 49,0.4,0.4
IC22,00 29 33.1,-09 04 50,0.7,0.3
IC23,00 30 50.7,-12 43 13,0.7,0.7
IC24,00 31 16.7,+30 50 24,None,None
IC25,00 31 12.2,-00 24 28,0.7,0.6
IC26,00 31 45.9,-13 20 16,0.5,0.5
IC27,00 33 06.3,-13 22 17,0.6,0.6
IC28,00 33 08.7,-13 27 22,0.6,0.5
IC29,00 34 10.7,-02 10 39,0.7,0.7
IC30,00 34 14.6,-02 05 06,0.4,0.2
IC31,00 34 24.6,+12 16 05,1.4,0.3
IC32,00 35 01.6,-02 08 31,0.4,0.4
IC33,00 35 04.9,-02 08 08,0.5,0.4
IC34,00 35 36.5,+09 07 27,3.2,1.2
IC35,00 37 39.8,+10 21 29,1.3,1.2
IC36,00 37 49.5,-15 26 28,0.6,0.6
IC37,00 38 34.1,-15 21 32,0.8,0.4
IC38,00 38 38.9,-15 25 09,0.9,0.7
IC39,00 39 08.4,-14 10 21,2,1.2
IC40,00 39 21.4,+02 27 21,1.1,0.5
IC41,00 39 40.3,-14 10 28,0.4,0.4
IC42,00 41 05.7,-15 25 42,0.7,0.4
IC43,00 42 22.1,+29 38 29,2.2,2.1
IC44,00 42 15.8,+00 50 44,1.5,1
IC45,00 42 36.3,+29 39 19,None,None
IC46,00 42 57.9,+27 15 12,0.6,0.5
IC47,00 42 54.9,-13 44 26,0.5,0.3
IC48,00 43 34.3,-08 11 14,1,0.8
IC49,00 43 56.1,+01 51 01,1.9,1.7
IC50,00 46 05.6,-09 30 14,0.6,0.6
IC51,00 46 24.3,-13 26 34,1.3,1.2
IC52,00 48 23.9,+04 05 29,1.2,0.5
IC53,00 50 40.7,+10 36 00,1.5,1.4
IC54,00 50 46.7,-02 17 20,None,None
