NGC1,00 07 15.9,+27 42 32,1.6,1.2
NGC2,00 07 17.2,+27 40 46,1,0.6
NGC3,00 07 16.7,+08 18 05,1.1,0.6
NGC4,00 07 24.4,+08 22 22,0.6,0.3
NGC5,00 07 48.8,+35 21 44,1.2,0.7
NGC6,00 09 32.8,+33 18 34,1.7,1.5
NGC7,00 08 20.8,-29 54 55,2.2,0.5
NGC8,00 08 45.7,+23 50 16,None,None
NGC9,00 08 54.7,+23 49 04,1.3,0.7
NGC10,00 08 34.6,-33 51 20,2.4,1.2
NGC11,00 08 42.4,+37 26 52,1.5,0.3
NGC12,00 08 44.8,+04 36 47,1.7,1.5
NGC13,00 08 48.0,+33 26 03,2.5,0.6
NGC14,00 08 46.3,+15 48 56,2.8,2.1
NGC15,00 09 02.4,+21 37 28,1.2,0.7
NGC16,00 09 04.6,+27 43 50,1.8,1
NGC17,00 11 06.6,-12 06 26,0.4,0.3
NGC18,00 09 23.0,+27 43 56,None,None
NGC19,00 10 40.9,+32 58 58,1.1,0.6
NGC20,00 09 32.8,+33 18 34,1.5,1.5
NGC21,00 10 46.9,+33 21 10,1.6,0.7
NGC22,00 09 48.1,+27 49 57,1.7,1.3
NGC23,00 09 53.4,+25 55 25,2.1,1.3
NGC24,00 09 56.3,-24 57 49,5.8,1.3
NGC25,00 09 59.2,-57 01 16,1.4,0.8
NGC26,00 10 25.9,+25 49 51,1.9,1.4
NGC27,00 10 32.9,+28 59 50,1.2,0.5
NGC28,00 10 25.3,-56 59 21,1.5,1.3
NGC29,00 10 46.9,+33 21 10,1.7,0.8
NGC30,00 10 50.7,+21 58 37,None,None
NGC31,00 10 38.5,-56 59 11,1.1,0.6
NGC32,00 10 53.5,+18 47 45,None,None
NGC33,00 10 56.6,+03 40 33,None,None
NGC34,00 11 06.6,-12 06 26,2.2,0.8
NGC35,00 11 10.2,-12 01 15,0.7,0.5
NGC36,00 11 22.3,+06 23 21,2.2,1.3
NGC37,00 11 22.9,-56 57 26,1.1,0.7
NGC38,00 11 47.0,-05 35 13,1.3,1.3
NGC39,00 12 18.9,+31 03 40,1.1,1
NGC40,00 13 00.9,+72 31 20,38,35
NGC41,00 12 47.9,+22 01 25,0.9,0.5
NGC42,00 12 56.3,+22 06 02,1.1,0.6
NGC43,00 13 00.9,+30 54 57,1.6,1.5
NGC44,00 13 13.3,+31 17 11,None,None
NGC45,00 14 03.9,-23 10 52,8.5,5.9
NGC46,00 14 09.9,+05 59 16,None,None
NGC47,00 14 30.9,-07 10 05,2.2,2.1
NGC48,00 14 02.0,+48 14 06,1.4,0.9
NGC49,00 14 22.3,+48 14 48,1.1,1
NGC50,00 14 44.6,-07 20 44,2.3,1.7
NGC51,00 14 34.7,+48 15 20,1.3,1
NGC52,00 14 40.2,+18 34 48,2.6,0.5
NGC53,00 14 41.8,-60 19 43,2,1.4
NGC54,00 15 07.6,-07 06 27,1.3,0.4
NGC55,00 15 08.4,-39 13 14,32.4,5
NGC56,00 15 20.6,+12 26 40,None,None
NGC57,00 15 30.7,+17 19 38,2.2,1.9
NGC58,00 14 30.9,-07 10 05,2.3,2
NGC59,00 15 25.1,-21 26 38,2.6,1.3
NGC60,00 15 58.3, -0 18 12,1.3,1.2
NGC61,00 16 24.5,-06 19 21,1,0.6
NGC62,00 17 05.5,-13 29 12,1,0.8
NGC63,00 17 45.5,+11 26 58,1.7,1.1
NGC64,00 17 30.3,-06 49 32,1.5,1.1
NGC65,00 18 59.5,-22 52 51,0.8,0.7
NGC66,00 19 04.5,-22 56 15,1.2,0.7
NGC67,00 18 12.5,+30 03 19,0.4,0.3
NGC68,00 18 18.5,+30 04 17,2,1.8
NGC69,00 18 20.5,+30 02 23,0.9,0.8
NGC70,00 18 22.5,+30 04 46,1.4,1.2
NGC71,00 18 23.5,+30 03 47,1.2,1.1
NGC72,00 18 28.3,+30 02 26,1.1,0.9
NGC73,00 18 39.4,-15 19 19,1.6,1.1
NGC74,00 18 49.3,+30 03 41,0.8,0.3
NGC75,00 19 25.7,+06 26 53,1.9,1.9
NGC76,00 19 37.7,+29 56 01,1,0.9
NGC77,00 20 01.5,-22 31 57,0.4,0.4
NGC78,00 20 25.7,+00 49 35,1.1,0.7
NGC79,00 21 02.9,+22 34 00,0.6,0.6
NGC80,00 21 10.9,+22 21 26,1.8,1.7
NGC81,00 21 13.3,+22 22 58,0.2,0.1
NGC82,00 21 17.4,+22 27 41,None,None
NGC83,00 21 22.5,+22 26 01,1.5,1.5
NGC84,00 21 21.3,+22 37 03,None,None
NGC85,00 21 25.6,+22 30 43,0.6,0.5
NGC86,00 21 28.7,+22 33 23,0.7,0.3
NGC87,00 21 14.2,-48 37 42,0.9,0.7
NGC88,00 21 21.8,-48 38 25,0.8,0.5
NGC89,00 21 24.3,-48 39 57,1.2,0.6
NGC90,00 21 51.4,+22 24 00,None,None
NGC91,00 21 51.7,+22 22 06,1.9,0.8
NGC92,00 21 32.0,-48 37 34,1.9,0.9
NGC93,00 22 03.3,+22 24 29,1.4,0.6
NGC94,00 22 13.5,+22 28 59,0.4,0.2
NGC95,00 22 14.1,+10 29 28,1.9,1.1
NGC96,00 22 17.7,+22 32 47,0.6,0.6
NGC97,00 22 30.0,+29 44 43,1.5,1.3
NGC98,00 22 49.3,-45 16 10,1.7,1.3
NGC99,00 23 59.6,+15 46 10,1.4,1.3
NGC100,00 24 02.5,+16 29 09,5.5,0.7
NGC101,00 23 54.5,-32 32 11,2.2,2
NGC102,00 24 36.3,-13 57 26,1,0.7
NGC103,00 25 17.4,+61 19 19,None,None
NGC104,00 24 05.1,-72 04 51,None,None
NGC105,00 25 16.9,+12 53 07,1.1,0.7
NGC106,00 24 43.7,-05 08 57,0.9,0.7
NGC107,00 25 42.1,-08 17 03,0.9,0.6
NGC108,00 25 59.7,+29 12 43,2,1.6
NGC109,00 26 14.5,+21 48 26,1.3,1.1
NGC110,00 27 25.0,+71 23 30,None,None
NGC111,00 26 38.4,-02 37 30,None,None
NGC112,00 26 48.5,+31 42 14,1.1,0.5
NGC113,00 26 54.6,-02 30 03,1.4,1
NGC114,00 26 58.7,-01 47 05,0.9,0.7
NGC115,00 26 46.7,-33 40 36,1.9,0.9
NGC116,00 27 05.2,-07 40 09,0.7,0.4
NGC117,00 27 10.8,+01 20 02,0.7,0.4
NGC118,00 27 16.2,-01 46 44,0.7,0.5
NGC119,00 26 57.1,-56 58 42,1,1
NGC120,00 27 30.1,-01 30 48,1.5,0.6
NGC121,00 26 47.1,-71 32 12,None,None
NGC122,00 27 38.3,-01 38 25,None,None
NGC123,00 27 40.0,-01 37 39,None,None
NGC124,00 27 52.3,-01 48 38,1.4,0.9
NGC125,00 28 50.3,+02 50 19,1.7,1.5
NGC126,00 29 08.1,+02 48 40,0.9,0.4
NGC127,00 29 12.3,+02 52 21,0.8,0.6
NGC128,00 29 15.1,+02 51 51,3,0.9
NGC129,00 29 54.1,+60 12 35,None,None
NGC130,00 29 18.5,+02 52 14,0.7,0.4
NGC131,00 29 38.3,-33 15 31,1.9,0.6
NGC132,00 30 10.6,+02 05 35,1.9,1.4
NGC133,00 31 16.9,+63 21 10,None,None
NGC134,00 30 21.4,-33 14 50,8.5,2
NGC135,00 31 45.9,-13 20 16,0.5,0.5
NGC136,00 31 30.7,+61 30 34,None,None
